Time,Channel B
(ms),(V)

-0.00062500,-∞
0.00065500,∞
0.00193500,∞
0.00321500,∞
0.00449500,∞
0.00577500,∞
0.00705500,∞
0.00833500,∞
0.00961500,∞
0.01089500,∞
0.01217500,∞
0.01345500,∞
0.01473500,∞
0.01601500,∞
0.01729500,∞
0.01857500,∞
0.01985500,∞
0.02113500,∞
0.02241500,∞
0.02369500,∞
0.02497500,∞
0.02625500,∞
0.02753500,∞
0.02881500,∞
0.03009500,∞
0.03137500,∞
0.03265500,∞
0.03393500,∞
0.03521500,∞
0.03649500,∞
0.03777500,∞
0.03905500,∞
0.04033500,∞
0.04161500,∞
0.04289500,∞
0.04417500,∞
0.04545500,∞
0.04673500,∞
0.04801500,∞
0.04929500,∞
0.05057500,∞
0.05185500,∞
0.05313500,∞
0.05441500,∞
0.05569500,∞
0.05697500,∞
0.05825500,∞
0.05953500,∞
0.06081500,∞
0.06209500,∞
0.06337500,∞
0.06465500,∞
0.06593500,∞
0.06721500,∞
0.06849500,∞
0.06977500,∞
0.07105500,∞
0.07233500,∞
0.07361500,∞
0.07489500,∞
0.07617500,∞
0.07745500,∞
0.07873500,∞
0.08001500,∞
0.08129500,∞
0.08257500,∞
0.08385500,∞
0.08513500,∞
0.08641500,∞
0.08769500,∞
0.08897500,∞
0.09025500,∞
0.09153500,∞
0.09281500,∞
0.09409500,∞
0.09537500,∞
0.09665500,∞
0.09793500,∞
0.09921500,∞
0.10049500,∞
0.10177500,∞
0.10305500,∞
0.10433500,∞
0.10561500,0.99307230
0.10689500,0.98400830
0.10817500,0.96588030
0.10945500,0.95681630
0.11073500,0.94775230
0.11201500,0.94775230
0.11329500,0.92959380
0.11457500,0.92959380
0.11585500,0.92052980
0.11713500,0.91146580
0.11841500,0.91146580
0.11969500,0.90240180
0.12097500,0.90240180
0.12225500,0.89333780
0.12353500,0.89333780
0.12481500,0.88427380
0.12609500,0.88427380
0.12737500,0.88427380
0.12865500,0.87520980
0.12993500,0.87520980
0.13121500,0.88427380
0.13249500,0.87520980
0.13377500,0.87520980
0.13505500,0.87520980
0.13633500,0.87520980
0.13761500,0.87520980
0.13889500,0.87520980
0.14017500,0.86614580
0.14145500,0.87520980
0.14273500,0.87520980
0.14401500,0.87520980
0.14529500,0.87520980
0.14657500,0.87520980
0.14785500,0.87520980
0.14913500,0.88427380
0.15041500,0.87520980
0.15169500,0.88427380
0.15297500,0.88427380
0.15425500,0.88427380
0.15553500,0.88427380
0.15681500,0.88427380
0.15809500,0.88427380
0.15937500,0.88427380
0.16065500,0.89333780
0.16193500,0.89333780
0.16321500,0.89333780
0.16449500,0.89333780
0.16577500,0.89333780
0.16705500,0.89333780
0.16833500,0.89333780
0.16961500,0.89333780
0.17089500,0.88427380
0.17217500,0.88427380
0.17345500,0.88427380
0.17473500,0.88427380
0.17601500,0.88427380
0.17729500,0.87520980
0.17857500,0.87520980
0.17985500,0.87520980
0.18113500,0.86614580
0.18241500,0.86614580
0.18369500,0.86614580
0.18497500,0.85708180
0.18625500,0.85708180
0.18753500,0.84798730
0.18881500,0.84798730
