Time,Channel B
(ms),(V)

-10.00959892,4.89165900
-10.00703892,4.89165900
-10.00447892,4.89165900
-10.00191892,4.89165900
-9.99935892,4.89165900
-9.99679892,4.89165900
-9.99423892,4.89165900
-9.99167892,4.89165900
-9.98911892,4.89165900
-9.98655892,4.89165900
-9.98399892,4.89165900
-9.98143892,4.89165900
-9.97887892,4.89165900
-9.97631892,4.89165900
-9.97375892,4.89165900
-9.97119892,4.89165900
-9.96863892,4.89165900
-9.96607892,4.89165900
-9.96351892,4.89165900
-9.96095892,4.89165900
-9.95839892,4.89165900
-9.95583892,4.89165900
-9.95327892,4.89165900
-9.95071892,4.89165900
-9.94815892,4.89165900
-9.94559892,4.89165900
-9.94303892,4.89165900
-9.94047892,4.89165900
-9.93791892,4.89165900
-9.93535892,4.89165900
-9.93279892,4.89165900
-9.93023892,4.89165900
-9.92767892,4.89165900
-9.92511892,4.89165900
-9.92255892,4.89165900
-9.91999892,4.89165900
-9.91743892,4.89165900
-9.91487892,4.89165900
-9.91231892,4.89165900
-9.90975892,4.89165900
-9.90719892,4.89165900
-9.90463892,4.89165900
-9.90207892,4.89165900
-9.89951892,4.89165900
-9.89695892,4.89165900
-9.89439892,4.89165900
-9.89183892,4.89165900
-9.88927892,4.89165900
-9.88671892,4.89165900
-9.88415892,4.89165900
-9.88159892,4.89165900
-9.87903892,4.89165900
-9.87647892,4.89165900
-9.87391892,4.89165900
-9.87135892,4.89165900
-9.86879892,4.89165900
-9.86623892,4.89165900
-9.86367892,4.89165900
-9.86111892,4.89165900
-9.85855892,4.89165900
-9.85599892,4.89165900
-9.85343892,4.89165900
-9.85087892,4.89165900
-9.84831892,4.89165900
-9.84575892,4.89165900
-9.84319892,4.89165900
-9.84063892,4.89165900
-9.83807892,4.89165900
-9.83551892,4.89165900
-9.83295892,4.89165900
-9.83039892,4.89165900
-9.82783892,4.89165900
-9.82527892,4.89165900
-9.82271892,4.89165900
-9.82015892,4.89165900
-9.81759892,4.89165900
-9.81503892,4.89165900
-9.81247892,4.89165900
-9.80991892,4.89165900
-9.80735892,4.89165900
-9.80479892,4.89165900
-9.80223892,4.89165900
-9.79967892,4.89165900
-9.79711892,4.89165900
-9.79455892,4.89165900
-9.79199892,4.89165900
-9.78943892,4.89165900
-9.78687892,4.89165900
-9.78431892,4.89165900
-9.78175892,4.89165900
-9.77919892,4.89165900
-9.77663892,4.89165900
-9.77407892,4.89165900
-9.77151892,4.89165900
-9.76895892,4.89165900
-9.76639892,4.89165900
-9.76383892,4.89165900
-9.76127892,4.89165900
-9.75871892,4.89165900
-9.75615892,4.89165900
-9.75359892,4.89165900
-9.75103892,4.89165900
-9.74847892,4.89165900
-9.74591892,4.89165900
-9.74335892,4.89165900
-9.74079892,4.89165900
-9.73823892,4.89165900
-9.73567892,4.89165900
-9.73311892,4.89165900
-9.73055892,4.89165900
-9.72799892,4.89165900
-9.72543892,4.89165900
-9.72287892,4.89165900
-9.72031892,4.89165900
-9.71775892,4.89165900
-9.71519892,4.89165900
-9.71263892,4.89165900
-9.71007892,4.89165900
